id,dansk_navn,slaegtsnavn,planteaar,driftsorganisation,fredet_beskyttet_trae,bydelsnavn,wkb_geometry
5402,Småbladet lind,Lind,1998.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543714147650975 55.66586116835056)
5403,Småbladet lind,Lind,2009.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.54371586242837 55.66608323899011)
5404,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543750109200323 55.66613915477357)
5405,Tretorn,Tretorn,2012.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543767207241189 55.666036400958475)
5406,Småbladet lind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543869424347644 55.66602333873153)
5407,Småbladet lind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543785566109351 55.66620284007052)
5408,Småbladet lind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543821997823498 55.666260595212584)
5409,Park-Lind,Lind,1891.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543918206269137 55.66655731923717)
5410,Almindelig ask,Ask,1980.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543714502008385 55.66974457712463)
5411,Rød-ask,Ask,2002.0,"TMF-Parker, Kirkegårde og Renhold",False,Nørrebro,POINT (12.538430320916614 55.69810187326124)
5412,Almindelig ask,Ask,1980.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.543795673788813 55.66963716537402)
5413,Almindelig ask,Ask,1980.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.54418799013649 55.66912636953522)
5414,Almindelig ask,Ask,1980.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.544105134777377 55.66923377548139)
5415,Småbladet lind,Lind,1988.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.544778705482091 55.669992835422)
5416,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.545879176412248 55.6637006867869)
5417,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.545697294409438 55.66414250856773)
5418,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.545810247102885 55.66416685217846)
5419,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.546019453141767 55.663722981850185)
5420,Spidsløn,Løn,1975.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.546792748332745 55.66384942545462)
5421,Spidsløn,Løn,1975.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.546939288953833 55.66387141959984)
5422,Almindelig robinie,Robinie,2011.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.551346082278103 55.66659489239662)
5423,Lind,Lind,1967.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.545508176720197 55.669282400553094)
5424,Småbladet lind,Lind,1989.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.555565525863292 55.657582783394936)
5425,Småbladet lind,Lind,1989.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55568203511661 55.657630224324755)
5426,Småbladet lind,Lind,1989.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.556014063962186 55.65777285750629)
5427,Almindelig ask,Ask,1972.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.556051452755675 55.65754227299915)
5428,Almindelig ask,Ask,1972.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.556677807801744 55.65787509817666)
5429,Park-Lind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.550809507580635 55.66455396969642)
5430,Park-Lind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55092450844659 55.664426217596436)
5431,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.552231710388396 55.66461225397514)
5432,Spidsløn,Løn,1975.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.553337349855594 55.664748989368)
5433,Park-Lind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.550217842431907 55.66517750545418)
5434,Park-Lind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55008777249868 55.66532223888698)
5435,Park-Lind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.550510844935888 55.664871548409195)
5436,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.551199831098728 55.66572071894222)
5437,Kinapære,Pære,1983.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.550153682884934 55.66684779546709)
5438,Kejserlind,Lind,1974.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.552014249428659 55.664847606214536)
5439,Spidsløn,Løn,1975.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.552132341256911 55.66612022208576)
5440,Småbladet lind,Lind,1977.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.551103692075298 55.66956572249687)
5441,Småbladet lind,Lind,1977.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.551089694828091 55.66963788748931)
5442,Småbladet lind,Lind,1990.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.55114978246592 55.66982513472989)
5443,Park-Lind,Lind,1935.0,Udliciteret til OKNygaard,False,Vesterbro-Kongens Enghave,POINT (12.551955520814753 55.669931259735975)
